generation,max_fitness,mean_fitness,min_fitness,std_fitness
0,35.2,24.911,15.1,3.59206852090838
1,34.3,24.8955,15.7,3.5157503662317273
2,34.0,24.947,15.0,3.489391724722097
3,34.6,25.0395,14.8,3.502029770349661
4,34.8,25.1635,15.1,3.50663756276361
5,35.1,25.224,14.5,3.57857160441461
6,34.9,25.1385,15.0,3.5460533887989727
7,34.8,25.177500000000002,15.0,3.6083805711116326
8,35.2,25.067,15.6,3.5372330470161772
9,34.6,25.1645,16.1,3.472474882474713
10,34.7,25.332500000000003,16.3,3.540259928476226
11,34.8,25.266,15.7,3.583096898950525
12,34.0,25.141,15.5,3.631586799747218
13,33.8,25.229,15.5,3.4986666907242663
14,34.3,25.208,15.5,3.5286904401762933
15,34.4,25.2465,15.8,3.4672676386608905
16,34.1,25.3485,16.3,3.514099593045644
17,34.7,25.2235,16.1,3.5386747518823602
18,34.8,25.2385,16.0,3.5175381434119024
19,34.7,25.352,16.6,3.4322668481355834
20,34.5,25.316,16.3,3.4082213119336258
21,33.7,25.252000000000002,15.7,3.3802576114723215
22,34.0,25.2275,15.4,3.326488588145432
23,33.8,25.3265,15.8,3.3840152452225203
24,33.9,25.2275,15.8,3.4167423006353497
25,34.6,25.2605,16.5,3.3473768765754266
26,34.2,25.312,16.5,3.370442017674113
27,34.8,25.3245,15.9,3.4537904910286237
28,35.0,25.403,15.8,3.481153325993062
29,34.2,25.454500000000003,15.6,3.4147847143731616
30,34.2,25.392500000000002,16.4,3.4143212237832
31,34.4,25.472,15.9,3.5179954228828345
32,34.5,25.448,16.4,3.50408651639804
33,34.8,25.5745,16.5,3.4706234664523876
34,34.7,25.5915,16.7,3.361292384582973
35,34.6,25.57,17.1,3.236331594762877
36,34.7,25.642000000000003,17.2,3.2694976091486128
37,34.7,25.733999999999998,17.5,3.2643682533828837
38,34.1,25.682499999999997,17.1,3.2419396313892377
39,34.2,25.6835,17.3,3.2315611377900524
40,34.1,25.704500000000003,17.2,3.1937984580562566
41,34.6,25.8445,17.2,3.1991013573386673
42,33.8,25.897000000000002,17.6,3.15613984609979
43,34.4,25.918,17.1,3.1552690507243417
44,34.3,25.9005,17.4,3.15778390834753
45,34.3,25.9755,17.5,3.107939416346386
46,34.1,25.919999999999998,17.8,3.0738256488689673
47,34.4,26.0365,18.1,3.0032737499874442
48,34.2,26.044,17.5,3.1216495707742262
49,34.3,26.0075,17.6,3.2062494660325243
50,34.5,25.997500000000002,16.9,3.2363616186348687
51,34.4,25.921,17.2,3.170703620875018
52,34.2,25.932499999999997,17.4,3.1627855112305547
53,34.1,26.019,18.1,3.0150368865395305
54,33.8,25.904000000000003,17.6,2.987451136434953
55,34.1,25.794999999999998,17.7,3.0659979350157416
56,33.9,25.7445,18.3,2.881294786344972
57,33.5,25.7555,18.3,2.898904576717784
58,33.4,25.660000000000004,17.7,2.940397217286096
59,33.9,25.6415,18.3,2.966080514503083
60,33.4,25.621,17.0,3.0416621128042234
61,33.6,25.631999999999998,16.6,3.0271032703427467
62,33.0,25.642500000000002,16.9,3.02717635087828
63,33.5,25.627499999999998,17.3,3.127798781484895
64,33.7,25.611,17.3,3.115401784549941
65,34.1,25.607,17.1,3.009972843996714
66,33.3,25.660500000000003,17.3,3.022745038804536
67,33.8,25.552500000000002,17.3,2.9854228208878433
68,33.8,25.597,17.6,3.006294429227514
69,33.0,25.571,17.6,2.9527639333568247
70,33.1,25.4885,17.7,2.9037783525967025
71,33.2,25.4805,18.1,2.927299515511993
72,33.2,25.573500000000003,18.1,2.8743632131368813
73,33.0,25.4915,18.3,2.7859190232585784
74,32.9,25.5805,17.8,2.833973848070124
75,33.0,25.613999999999997,18.3,2.801101503781325
76,33.0,25.704500000000003,18.4,2.8251366199356704
77,33.2,25.8765,18.4,2.859638158129681
78,33.0,25.8795,18.7,2.9140791628337643
79,34.0,25.877499999999998,18.1,2.9383832385075546
80,33.6,25.9,18.6,2.8853808540238712
81,33.6,25.854000000000003,18.4,2.879957108872528
82,34.4,25.9095,17.6,2.9164839064515973
83,33.8,25.987000000000002,17.9,2.9531340995633903
84,33.9,25.932499999999997,18.0,2.974289394867113
85,33.7,25.886000000000003,18.6,2.8627743055575765
86,33.6,25.8375,18.0,2.886876779463575
87,33.6,25.79,18.0,2.8595900538264436
88,34.2,25.8145,17.9,2.9524742970364413
89,34.2,25.752499999999998,17.6,2.8759338863915107
90,33.2,25.755000000000003,17.5,2.808038560891487
91,33.4,25.738999999999997,17.9,2.8730714056954896
92,33.4,25.8465,17.8,2.9305403965975994
93,33.6,25.765499999999996,18.2,2.917713991162363
94,33.2,25.8245,18.1,2.881453970999252
95,33.3,25.815500000000004,18.6,2.8995067952705313
96,32.6,25.789499999999997,18.2,2.8592699624260467
97,33.2,25.756,18.1,2.8983159266596017
98,33.6,25.7485,18.2,2.8453463537601342
99,33.2,25.715500000000002,18.3,2.8440947340184146
100,33.0,25.799,18.3,2.7407932581639303
