generation,max_fitness,mean_fitness,min_fitness,std_fitness
0,33.9,24.8855,14.7,3.507092809604761
1,34.7,25.442500000000003,15.5,3.5050519513057496
2,34.3,25.895,17.2,3.379174386007597
3,35.1,26.486,17.5,3.3138651756700583
4,35.4,26.7885,17.4,3.2925068486347264
5,35.6,27.236,18.5,3.1604603312886494
6,36.2,27.5925,18.8,3.189000895921704
7,36.6,27.93,18.7,3.2132207092177936
8,36.3,28.285500000000003,19.4,3.195859551224194
9,36.9,28.5105,20.0,3.195285292294079
10,37.2,28.859500000000004,20.3,3.149339050690746
11,37.2,29.240500000000004,20.6,3.152585904928094
12,37.5,29.569499999999998,21.4,3.232594017684849
13,38.3,29.8625,21.4,3.218186394027769
14,37.8,30.142500000000002,20.7,3.171847984485647
15,38.4,30.5325,21.1,3.1723998747333555
16,38.2,30.805500000000002,22.0,3.1327642770214696
17,38.9,31.111,22.7,3.0990936599822123
18,39.4,31.442500000000003,23.0,3.0390259363699594
19,40.1,31.663,23.1,3.0339363990073007
20,39.2,32.0045,23.7,2.9869894956460383
21,39.5,32.2105,24.1,2.9360227267707524
22,39.7,32.364,24.4,2.948665387357444
23,40.3,32.5135,24.2,2.844147907218868
24,40.1,32.6325,24.4,2.8671895550174527
25,40.0,32.906,24.2,2.9404235929362748
26,40.1,33.182,24.5,2.9224097774581863
27,41.1,33.404,25.8,2.876180759549245
28,40.7,33.519,25.5,2.8300244005503585
29,40.9,33.7235,25.4,2.8389985676484533
30,41.5,33.975,26.6,2.778218589943894
31,40.9,34.172000000000004,26.2,2.750891994094326
32,41.0,34.44199999999999,25.8,2.7894796437191176
33,41.8,34.7155,26.4,2.782265092755988
34,41.9,34.882,26.9,2.809435450946958
35,42.0,35.1185,27.0,2.8196423320256896
36,42.3,35.449,27.2,2.7195017511444486
37,42.4,35.7355,27.8,2.696808006870606
38,42.6,35.9145,28.4,2.71722825907748
39,42.9,36.071,29.4,2.693383727664229
40,42.6,36.394,28.9,2.686741594621912
41,43.0,36.763999999999996,29.1,2.6283765421725915
42,43.5,36.999,29.2,2.6261880734801863
43,44.0,37.267,29.8,2.5794278880722876
44,44.2,37.359500000000004,29.2,2.6062893540986325
45,44.2,37.597,29.9,2.5567832642712833
46,44.2,37.742000000000004,30.9,2.5693469591949656
47,44.1,37.9215,30.7,2.574806007460414
48,44.9,38.125,30.6,2.527071383631525
49,44.7,38.386,31.0,2.4517350159218814
50,44.9,38.540499999999994,32.0,2.4226390592638465
51,45.2,38.6875,31.3,2.4518149354618113
52,45.1,38.879000000000005,31.9,2.432366545125439
53,44.9,39.028499999999994,32.4,2.3791175688443635
54,45.0,39.176,32.4,2.3631899267462586
55,45.4,39.3355,32.9,2.3098570027001264
56,45.8,39.582499999999996,33.1,2.332813358479801
57,45.5,39.647000000000006,33.2,2.3974043236112967
58,45.7,39.825,33.5,2.4012631671987004
59,45.9,39.9125,33.3,2.4539073766739206
60,46.1,39.974000000000004,33.2,2.465262825380001
61,45.7,40.137,33.7,2.4109205686989186
62,45.7,40.275999999999996,33.7,2.3485685854569853
63,46.0,40.439499999999995,34.1,2.349764410812416
64,46.0,40.542,34.0,2.2662167843912284
65,46.1,40.61,34.3,2.2426856455301425
66,46.5,40.7485,33.9,2.2446829092267575
67,46.0,40.846000000000004,34.6,2.1674703649351508
68,45.8,40.945,34.6,2.1432364478704953
69,46.3,41.146,34.9,2.0929369854338487
70,46.2,41.2295,35.0,2.0517410856767575
71,46.4,41.3185,35.0,2.0839170669876967
72,46.5,41.3975,35.5,2.1155452564495953
73,46.5,41.495999999999995,35.9,2.077516572141346
74,46.5,41.493,35.6,2.09458045967832
75,46.6,41.6475,36.0,2.0896833692460266
76,46.4,41.7815,35.5,2.1092406390019613
77,46.9,41.8805,36.0,2.085212263639957
78,47.0,42.0235,36.1,2.04000265717134
79,47.2,42.182,36.4,1.9969939761241005
80,47.3,42.257,36.2,2.011191401062137
81,47.3,42.338499999999996,36.1,1.9991014969533183
82,47.5,42.4135,36.2,2.0011080662089866
83,47.3,42.451499999999996,36.0,1.9611801151121895
84,47.3,42.5115,36.5,1.9806025770396296
85,47.3,42.687,36.5,1.9847014163272192
86,47.3,42.787,36.7,1.928569113491435
87,47.3,42.861000000000004,37.5,1.9093679638299448
88,47.2,42.903,37.0,1.9246984186270475
89,47.7,43.058499999999995,38.0,1.8791075654770704
90,47.6,43.102999999999994,38.1,1.8509007696637045
91,47.6,43.159,37.9,1.8473052731773127
92,47.6,43.2245,37.7,1.8783817835225833
93,47.5,43.305,37.7,1.8452889638120968
94,47.6,43.4085,38.0,1.8479831139443004
95,47.7,43.5375,37.9,1.810852425915695
96,47.6,43.5815,38.5,1.7664294561645657
97,47.6,43.578500000000005,38.1,1.7766957591035548
98,48.1,43.585,38.3,1.8026733449066914
99,47.8,43.753499999999995,38.7,1.770985115274947
100,47.8,43.790499999999994,38.8,1.7632258924252961
