generation,max_fitness,mean_fitness,min_fitness,std_fitness
0,34.6,24.9195,15.6,3.538865483789542
1,35.2,26.977999999999998,18.6,3.152413753830584
2,36.8,28.714499999999997,21.4,2.930280244747811
3,37.8,30.401999999999997,22.9,2.8061785061112277
4,38.0,31.968,24.9,2.5822622232364694
5,39.6,33.536500000000004,26.5,2.3861297891009112
6,40.4,34.918,28.7,2.175554860454212
7,41.7,36.138,30.2,2.0359246395145334
8,42.1,37.2915,31.3,1.9741476631663193
9,43.4,38.369,33.6,1.9104331352047388
10,44.3,39.4315,34.5,1.8454671417212443
11,44.8,40.4785,35.4,1.7405316700733953
12,45.8,41.4375,37.1,1.6508077354769117
13,46.5,42.3545,37.5,1.5614145378699527
14,47.1,43.239999999999995,39.0,1.497052495779172
15,47.5,44.0795,40.3,1.3776400949619865
16,47.8,44.8365,41.2,1.2566575257997095
17,48.3,45.5125,42.4,1.1352596278910494
18,48.9,46.124,42.9,1.097060316483652
19,49.1,46.7045,43.9,1.0143882818799932
20,49.4,47.2255,44.8,0.9209542267386469
21,49.6,47.717,45.5,0.8367812115343662
22,49.7,48.189,45.9,0.7589931958003591
23,49.7,48.588,46.8,0.6884926225505753
24,49.9,48.934000000000005,47.1,0.607244849922439
25,49.9,49.2495,47.6,0.5160175427671536
26,49.9,49.491,48.3,0.39133161517113857
27,49.9,49.660000000000004,48.8,0.25667650652101914
28,49.9,49.7645,49.0,0.17606981464886667
29,49.9,49.8335,49.4,0.10992570561748742
30,49.9,49.88,49.6,0.05043443933106053
31,49.9,49.8985,49.8,0.012155245781143218
32,49.9,49.9,49.9,0.0
33,49.9,49.9,49.9,0.0
34,49.9,49.9,49.9,0.0
35,49.9,49.9,49.9,0.0
36,49.9,49.9,49.9,0.0
37,49.9,49.9,49.9,0.0
38,49.9,49.9,49.9,0.0
39,49.9,49.9,49.9,0.0
40,49.9,49.9,49.9,0.0
41,49.9,49.9,49.9,0.0
42,49.9,49.9,49.9,0.0
43,49.9,49.9,49.9,0.0
44,49.9,49.9,49.9,0.0
45,49.9,49.9,49.9,0.0
46,49.9,49.9,49.9,0.0
47,49.9,49.9,49.9,0.0
48,49.9,49.9,49.9,0.0
49,49.9,49.9,49.9,0.0
50,49.9,49.9,49.9,0.0
51,49.9,49.9,49.9,0.0
52,49.9,49.9,49.9,0.0
53,49.9,49.9,49.9,0.0
54,49.9,49.9,49.9,0.0
55,49.9,49.9,49.9,0.0
56,49.9,49.9,49.9,0.0
57,49.9,49.9,49.9,0.0
58,49.9,49.9,49.9,0.0
59,49.9,49.9,49.9,0.0
60,49.9,49.9,49.9,0.0
61,49.9,49.9,49.9,0.0
62,49.9,49.9,49.9,0.0
63,49.9,49.9,49.9,0.0
64,49.9,49.9,49.9,0.0
65,49.9,49.9,49.9,0.0
66,49.9,49.9,49.9,0.0
67,49.9,49.9,49.9,0.0
68,49.9,49.9,49.9,0.0
69,49.9,49.9,49.9,0.0
70,49.9,49.9,49.9,0.0
71,49.9,49.9,49.9,0.0
72,49.9,49.9,49.9,0.0
73,49.9,49.9,49.9,0.0
74,49.9,49.9,49.9,0.0
75,49.9,49.9,49.9,0.0
76,49.9,49.9,49.9,0.0
77,49.9,49.9,49.9,0.0
78,49.9,49.9,49.9,0.0
79,49.9,49.9,49.9,0.0
80,49.9,49.9,49.9,0.0
81,49.9,49.9,49.9,0.0
82,49.9,49.9,49.9,0.0
83,49.9,49.9,49.9,0.0
84,49.9,49.9,49.9,0.0
85,49.9,49.9,49.9,0.0
86,49.9,49.9,49.9,0.0
87,49.9,49.9,49.9,0.0
88,49.9,49.9,49.9,0.0
89,49.9,49.9,49.9,0.0
90,49.9,49.9,49.9,0.0
91,49.9,49.9,49.9,0.0
92,49.9,49.9,49.9,0.0
93,49.9,49.9,49.9,0.0
94,49.9,49.9,49.9,0.0
95,49.9,49.9,49.9,0.0
96,49.9,49.9,49.9,0.0
97,49.9,49.9,49.9,0.0
98,49.9,49.9,49.9,0.0
99,49.9,49.9,49.9,0.0
100,49.9,49.9,49.9,0.0
